	tweet	class
37	stephenwildboy chilling http co mik ipnle sexy scally lad	0
38	tee jonez stanleys kingcuh tuku ho idk blah blah blah	0
39	tee jonez kingcuh stanleys mad cuh hahaha suure tuku ho ita	0
40	theo http co byj hoyhmg scally lad would get	0
41	theomaxximus gerryshalloweenparty http co ycrsrnjhc halloween yesterday stupid nigger	1
42	uberfacts sad tv character deaths still bitter http co ulclfuf nc http co rxyqoosm ned stark man	0
43	wbur smuggler explains helped fighters along jihadi highway http co ux anxeawd	0
44	yankees yankees look rally bottom th rallycap	0
45	ashlingwilde itsnotadam bored supposed cute faggot sometimes	1
46	ayyee ceee one mans trash another mans treasure	0
47	bigbootybishopp white thunduh lassen cc coach wants feel youll get nig doubt	1
48	complex uk ashley young tried deny bird landed mouth http co mlr ewgonk https co avchfj rem hahaha	0
49	deepthroatmike boys south take ride http co h matjyfga redneck woof woof	0
50	g rillaz e sitting window sill window open bird tries fly smacked protecttheanimals peta	0
51	greggutfeld video entire media likely mock http co xfr crxwsm crybaby	0
52	hxhassan jihadi patron hajjaj al ajmi arrested kuwait airport https co zmlokfwdql	0
53	itrapwatermelon tweety bird tho https co jbnonm n p	0
54	itscoleharmon twitter rappers dm trash links http co nmr auqg	0
55	jayswaggkillah jackies retard blondeproblems least make grilled cheese	1
56	jethromass photo http co cxrs bvhpw sole heaven	0
57	jgabsss stacey dash http co pdlg rjol baddest bitch evaaaa	1
58	kazooook actin like th day wesgodlaflare http co gmtevpat	0
59	metroadlib colored contacts eyes	0
60	nohands tolife nohands dejaaleeann b coleman swears man easily easily behind austin nip	0
61	oldpicsarchive h g wells charlie chaplin http co stiddhk wt history photography	0
62	rhythmixx told mariam cigarettes birthday	0
63	riananewman edham brownies tonight kind	0
64	rugbysocklad fit lads nice gear http co thnxx lc scally lads n trainers would get	0
65	sleepy yongguk saw ajumma walk beginning saying wow trash even listen lmaoo	0
66	socass dude remember wop video sexilexi http co p heuboqbu omg find	0
67	soxdawg rawr rt skinrubberboi sexy french scally love frenchscally http co idq r akz sexy scally woof woof	0
68	worldtraveis baby albino http co tytqj fec meeeesh	0
69	bae sounds like ghetto word use something else	0
70	brownies brownie love movie	0
71	chinese maverick communicating comrade u know giving imperialist yanks birdie https co gz jerps	0
72	worry nigga see worry nigga see dat da nigga fuckin yo bitch	1
73	generate ascii boxes nodejs see ability bring flappy bird node via ascii tubes bird http co lrjwdfhv	0
74	hey go look video man found kidnapped girls ohio nigger shitmybosssays	1
75	draft gung ho folks send afghanistan war zones show http co sr zcehx	0
76	thrill billy hillbilly heart billyraycyrus hahahahaha jesus murphy	0
77	found new way chug open mouth alot shitallysays	0
78	slit throat neck http co chffsdeddd	0
79	albino mexican	0
80	follow yellow brick twitter	0
81	lol cripple wendy davis rt mailonline scientists create remote controlled chick study shy penguins http co mt b slod	0
82	let kill cracker babies wtf hear wow	1
83	mam ren e doet haar rol net ze ongesteld wat ongesteld van dat soort vragen waar je denkt hoe leg ik die weer uit	0
84	mine plays dmx kirk franklin smh justcallmebrit well neighbors ghetto get like beat kids	0
85	grandma used call porch monkey time come think refer broken bottle nigger knife	1
86	nah nomeek justmilz yo thought photoshopped face faggot smmfh hate yall http co e fkq q	1
87	ovo allthingsfresh kendrick lamar still trash	0
88	couple red sox gotten past first base dying laughing maybe yanks need teach game	0
89	people time aryan race stand say mongerls turn world ghetto slum	1
90	devil grows inside hearts selfish wicked	0
91	water yellow healthy student	0
92	sour apple bitter bitches fuckin wit em	1
93	division trash nomeek justmilz saints gon win nfc south watch	0
94	recipe calls leftover brownie hell leftover brownie brownie eaten yet ericanadine	0
95	two roads diverged yellow wood chose one j tunheimr	0
96	hate niggers hate faggots hate spics kkk rally	1
97	queer	1
98	fuck callin jiggaboo nigga	1
99	people think gay marriage okay beyond sorry want future son seeing fags walking street holding hands	1
100	yah said word mtzra ym egyptians people ysrah al inheritance kushite ethiopians	0
101	yaoooooooo yea im jamaican mawnin yardies	0
102	gunna shit spear chucker	1
103	hit lights line toco bell morning diana back house miracle charlie dianaaaxo	0
104	look like little birds help get dressed morning	0
105	ol trout mouth ass bitch	1
106	teeth like stars aww thanks yeah yellow far away	0
107	ayo even kill handicapped crippled bitches look scalp real close see triple sixes	1
108	fuck pussy ass hater go suck dick die quick someone youtube comments think good friends	1
109	hick raver venn diagram large intersection	0
110	way fuck bitch name lord mr race	1
111	poor whitey http co ukkeyznz	1
112	rappers say twat makes feel weird	0
113	faves rt grahamorama snoop justin much fun charlie wilson tribute betawards https co c nhwublxn	0
114	azmonsoon lot rain bad enough wash away teabagger racist white trash state tcot teaparty azflooding	1
115	askdems embarrassed charlie rangel remains caucus	0
116	breaking ap calls mass governor race charlie baker watch live coverage wcvb streaming online http co hy evoat	0
117	bigbird made gay couple yes gop world bird would existed since creators would jail sodomy	0
118	blessjesus amos two walk together except agreed	0
119	blessjesus amos hate one upholds justice court detest one tells truth	0
120	blessjesus crown head sole feet	0
121	blessjesusair matthew look birds air yet heavenly father feeds much valuable	0
122	blessjesuslove happy belated sixty fifth birthday aunt mary agnes strong	0
123	california full white trash	1
124	california full white trash moved oklahoma	1
125	commonquestioniget	0
126	dtla trash non europeans allowed live	1
127	degenerateartist sniffs whiffy balls involuntary cuz fairy walks downtown hairy climatechange scary sense hillbilly sneeze	0
128	derekjeter lifelong yankees man miss firstballot	0
129	dutch farmers white trash	1
130	dutch people live outside newyorkcity white trash	1
131	earlybird early morning sunrise dawn bird thebird jerryreed kansas city http co kuvq upwuw	0
132	ebola great thought panic bird flu bad really got time	0
133	ebola great metaphor gop teaparty policies eat vital organs host dies tcot teabaggers	0
134	explainananimeplotbadly boy monkey tail grows savior futuristic yet old earth	0
135	femalelogic worse jig convinced	0
136	firecashman root royals october yankees	0
137	glory isaiah mom asked wanted brownie said thanks	0
138	holidayseasonlive shyglizzy plies shy glizzy feat plies free tha gang http co pygosk qcp	0
139	happycolumbusday america karlmarx would never thought sharing colonialism injuns	0
140	happycolumbusday hate sound peta callous buffalo lot worse injuns	0
141	hellyeah rt bacongawd rt huffingtonpost happy fall pumpkin spice oreos http co prvskante http co hleym yc	0
142	hellobrookland monroestmarket opening serving free samples cider vegan sliders brownies http co bw uytlqu	0
143	holyspirit joshua every place sole foot shall tread upon given unto said unto moses	0
144	iu straight nation college soccer champions wow hoosiernation hoosiers	0
145	iu make honorary student id way cooler international students football card hoosiers	0
146	indigenouspeoplesday right redskins lot queens right nomg sofunny	0
147	iowa full white trash	1
148	iraq gov troops handed severe defeat isis saqlawiya chatter soldiers lost jihadis raving	0
149	jesuschrist straight faggots killed period sonofgod	1
150	minnesota full white trash	1
151	np centuries fob	0
152	natitude okay going say comb yer beards lol wiggers	0
153	nowplaying bt feat tori amos blue skies radio edit thearrow http co r wuxa jb	0
154	nowplaying great white bitten twice shy thearrow http co r wuxa jb	0
155	nowplaying ian hunter bitten twice shy thearrow http co r wuxa jb	0
156	nowplaying doors wasp texas radio big beat thearrow http co r wuxa jb	0
157	pdplive november th get early bird tickets http co xcl kyiuv lifeofshan http co zcnp ljoow	0
158	pacernation road perfect way continue iubb finished nba pacers indiana hoosiers	0
159	radiofreenorthwest	0
160	reasonswecantbetogether u talkin nig smashed da homies	1
161	rebelscience using actual woman genetic engineering lab natural clones something faggot rome	1
162	redsox focus orioles knocked last year hatred yankees um teen years lol	0
163	royals fantastic ready tomorrow sweep disposed yankees ever except month	0
164	royals milwaukee let yost go wished cause suck guy win lose yankees fire girardi yost	0
165	ruinacomedian midnight charlie lapdance	0
166	skating trash	0
167	slightlyadjusted rt capotoheaven alls niggers wanna fuck tweet drink pineapple soda day	1
168	somethingigetalot asian black hawaiian gay retarded drunk	1
169	southcarolina full white trash	1
170	stopwhitepeople rt abc cases west nile virus infections reported orange county year dead birds found carrying virus	0
171	tbt love forever ling ling brittneycordova http co kecfnjyrwe	0
172	theboondocks nicca	0
173	truth rt notashley david charlie brown scandal	0
174	thingsiwillteachmychild play deez niggas n bitches dat snakes	1
175	trayvonmartin referred zimmerman creepy ass cracker racist thug	1
176	tweetlikepontiacholmes	1
177	vinitahegwood get job naacp ag hear like diversity tolerance long cracker tcot	1
178	virginia full white trash	1
179	wearerepublicnotregime potus bo violated usa sovereignty w open border jihadis criminal diseased haitians americans impeachobama	0
180	westvirginia full white trash	1
181	whatimcraving peanut butter oreos	0
182	worldseriesgame hunter pence annoying red sox player shave fool take vyvanse yankees	0
183	yankees	0
184	yankees firecashman want arod back	0
185	yankees jeter let play entire inning fitting	0
186	yankees sec robertson guy fantastic sec pitcher	0
187	yankees astros mccarthy outduels keuchel series finale http co hijjauktjn	0
188	yankees nine straight hits price night	0
189	yankees damn directtv blackout yankee game freaking walk killing satellite douche	0
190	yankees damn well joe move bullpen really helped	0
191	yankees complaining royals win lose game showed heart al ride die flex zone earned	0
192	yankees went golds cruz sound upper lower body strength hmm hr hitter say word	0
193	yankees royals fire sale want whole team leave gardner tanaka rest please go along joe cash	0
194	yankees nice bounce back michael kay gotta keep going	0
195	yankees pineda needed great play	0
196	yankees primo got home tanks mlb finally winning even better time get serious sept call time	0
197	yankees got beaten thug	0
198	yankees take three games motown callin mlb	0
199	yankees wasted nu ez season rays mlb	0
200	drunk trash trashed wasted draught horse http co uvwkhpeswh	0
201	faggots merely scientific indicator something wrong celebrate unique indiviuals cancer	1
202	firefighter job white trash	1
203	foxnews cuts away democrat talks claim fair balanced lmao network full teabaggers liars	0
204	gouache inktober oldpainting mt tiki wahine surf monkey bright happysunday peace wishing http co l hik iz	0
205	hoosier fans cody zeller nominating years nba draft iubb	0
206	inners still hanging yankees need win nfl sunday	0
207	iubb suiting tonight indiana iu ncaa hoosierdaddy hoosiernation hoosiers	0
208	metal honkies	0
209	milesthompson goauche wetback ca http co g ze bqlpg	1
210	mt commission gouache tiki wahine monkey tubed surfing wavesliding waterwalker notkook http co vii smgrm	0
211	mt goauche monkey oldpainting vinyl jazz lounge http co hueh hcxx	0
212	mt browngal gouache monkey tiki http co kfhj lwhbs	0
213	np shy glizzy awwsome remix feat chainz ap rocky via spinrilla http co owxtdrkwbc	0
214	philhughes yankees nyy better ur whole team	0
215	porn android iphone ipad sex xxx desi paki http co xxcdqvzi	0
216	porn android iphone ipad sex xxx desi paki http co cofgrtw br	0
217	porn android iphone ipad sex xxx teen cutie lesbian teens toy slits http co zs enjjwm	0
218	portlandia putabirdonit rt mightymouse xbox one would much cooler put bird	0
219	redneck tow truck johndeere america https co ifinqwvrad	0
220	rejectedpeanutsspecials grape crackhead charlie brown	0
221	southcarolina highschool graduation rate near many uninformed teabaggers morningjoe	0
222	stateoftheunion would last mins let president talk standing clapping birds	0
223	tbt precious gook baby outtapocketjuju http co qjljj tk	0
224	tbt took likkle monkey jimmys http co lik xpz ez	0
225	teabagger state like mississippi opposed minimum wage child labor laws unions pro scab sweatshop work pretty much slavery	0
226	tikiti rough mock base eventually ashtray tiki ti http co ze aqy	0
227	uppers loving show morning chris directing conversation beautifully make teabaggers talk	0
228	rt gottliebshow killer line sbnationnba josh smith dropped killer trash talk line kenneth http co c sjoupj	0
229	plus sheryl crow http co kywznotu	0
230	goalsminded true early bird gets worm first	0
231	hi ho http co fic fnrutz	0
232	bossmobbe racist month fuck u honkey	1
233	rt theonlyreed lmfao rt tone watching porn beating yo homie text u show name banner faggot	1
234	fucc nicca yu pose pullin	1
235	maaaaannnn hope rt abrown vonshayeb get rid john legend looking charlie batch	0
236	mike calls bird mikemastroccco	0
237	said rt boythats aryah tl gotta chill pretty face challenge foolishness hoes agg	1
238	rt kwagiheath st charlotte goon niccas gon fkkk around burn bank america stadium	1
239	snap chatted one night lol cute snapchat back nig	0
240		0
241	nerves worked cos monkey	0
242	monkey mad	0
243	rt kinghov work imma real uncle tom	0
244	rt kinghov recruited buku fags warehouse place	1
245	lbum de fotos csitaly ts fairy tail satan soul mirajane strauss made sims happy http co b eimux	0
246	lbum de fotos gaywrites making project queer students harvard highlights http co xzq xmaqtf	1
247	chillin homie left british rapper turned isis jihadi poses severed head http co l vmdnoxpg tcot	0
248	atrue cowboy truth distance love birds http co kqnw lj	0
249	brown frogger best game ever cuz suck flappy bird	0
250	abstractlife nigeldixon seantharrington orton trash idc playing trashlex smith sat kaep took spot	0
251	adderallhadme adderall killing two birds one stone http co wminpn	0
252	alexadelsanter awkward u fag corleyhuff vitchhhh http co hudoha yqe wonder awesome tank	1
253	amburger wtf flappy bird kidding	0
254	antiglib rt nateyfu yankees michael pineda next start http co zb zwn jet nole	0
255	ashlynwynns mud shark black friends makes perfect sense idiotic	0
256	ashton sos itsy bitsy teeny weeny yellow pock dot bikini polk ashton polk	0
257	austinmahone got new fish albino named shaquita yee bahaha	0
258	basebaiivines michael pineda hides pine tar neck http co pjrkjeay h fact yankees cheat go red sox boston	0
259	beautyofasinner really deleted flappy bird app store cus someone killed foreal foreal	0
260	bestofads rape cannibalism recognize original versions fairy tales http co prnj efaoi man wtf	0
261	bixxhmakemerich u ask every bitch gay bi	1
262	bobbybudnic oxtails yellow rice blasphemy boneless	0
263	burgerking going pick selectionsunday watchlikeaking http co abam gsk	0
264	cmre great either rt ahki equalizer trash denzel officially washed bruh neither flight	0
265	cryaboutitnigga get paid chill share wealth lil nicca	0
266	captainyankee two best yankees derek jeter joe torre joetorreday http co xmyxfdbkox jordan luree	0
267	commonblackgiri kids never found name anything souvenir store thanks mom ghetto name	0
268	commonmankfan mock drafts joke friends anyone	0
269	crowdifornia agree http co diz nkymn fuck yes send illegal wetbacks home	1
270	diycookery oreo cookies http co zcjww zz bruh	0
271	dshmee tom brady slowly becoming washed	0
272	deuce lakers kobe trash	0
273	dickfurari hell ya make malt liquor ads like http co h jgortnf	1
274	el grillo islamic state suspects indonesia chinese uighurs http co idicahzt	0
275	freddiegibbs tea bag bitch pahahaha	1
276	funnypicsdepot fucking white people http co uyjgzux cc bitch wut	1
277	giannenichole lakers really trash	0
278	glitteredinpink west like needs hoe breaking suck dick	1
279	greatgawd name something trash cavs	0
280	heykeifer golden oreos regular oreos yes	0
281	heykeifer oreos basically dirt circles cream true	0
282	humbleteej elisabethepps rating scale depends still wearing colored contacts naw	0
283	iifetip kit kat brownies http co w qlby making	0
284	imtoblame bruh rt priscocbs trent took yellow path http co xxguktjp	0
285	jaygorgeous need beanies ordered two true religion ones lol	0
286	johnelhadleyjr uncle charlie got thru lip singing haha	0
287	juanndacut twitter rappers dm trash links http co orzo	0
288	jukejuke lance stevenson gone leave indiana trash anyway	0
289	juniormaye lot though attitudes pure trash	0
290	karynhalpin foreskins go circumcise guy foreskin fairy takes put pillow	0
291	kik clean brah wiz cheated http co oz pndngj hair like dyke uh duh	0
292	king sm howard elbow bosh bosh fight back got mcbob bird ud	0
293	lastwordevan inning half away alex rodriguez eligible play thought yankees mlb omg feel ulcer	0
294	milf chronicles dudes shaving without athletic purpose gay af retarded	1
295	mannybdlopez open starburst candy get yellows http co f ddbfezb lmao bruh	0
296	maxwell larsen live gay afraid two black dicks butt fucking queer	1
297	mikeypdacav love song john doe dope mirandawigley edenbaby faggots	1
298	moffettmm got done last final walkin around campus like place queer	1
299	mommemusthaves mmmh daily http co bptrtxcel stories via kristincruz exmoshow yellow romyraves luv bling	0
300	fish died dammn weed potheads annoying af twitter weed pot thing faggot	1
301	nihao rocky rt drtruth hype bread loaf chick chill dyke rapper	1
302	niggaimtatted cowboys win games regular season get playoffs trash af lol hating ass nigga	1
303	nochillpaz white kids favorite activities	1
304	ogbeard bios trash mine pretty good	0
305	plmpcess fashion world urban means stolen black people ghetto us urban haha http co xwgflj c	0
306	prayforjack survived swine flu bird flu west nile bloomberg administration fine abortion survival cant get	0
307	pubesonfleek tweets trash	0
308	queendev leave trash u sick	0
309	raleighbeougher dumb beaner http co r habeqhsu	0
310	rudenation girls take snap backs beanies lol dollars hat ax beanies let take	0
311	sarabiaerik accidentally ate pot brownie guess goes pledge drug free life lolz lmao college	0
312	sexualmedic feel throwing trash away http co qq n rd n everyday school	0
313	shessoblessed oreos milk	0
314	simplyhype kobebryant shut fuck fucking trash nigga work another ring http co rlenkr ee	1
315	tp three westsideflee kekepalmer damn got wifey	1
316	twolvegirl find wanting google yellow king truedetective kidding going	0
317	thefunnyvine red neck ice bucket challenge https co cagp niofd must sip redneck	0
318	thesportsdiva adam jones homers yankees lead guy monsta	0
319	tom times making weed brownies tonight goin slide batch relo	0
320	tryhardsilva quote weezy verse diamond rough like baby trash	0
321	utragers colt mccoy wins	0
322	worstraplyrlcs http co tifqfx	0
323	willyc urbie singlebecause ill find cute hoosier date next year tgold connorbradley	0
324	yankees yankees red sox scoreless play nd inning	0
325	yankees alfredo aceves relieve cc sabathia th yankees needs go away gas	0
326	yattabing cavs trash heat trash smh pat gotta make trades	0
327	yummy oreo ice cream cake http co dvabpmgqjo	0
328	bitchbuh shoot nigga shorty bitch	1
329	lovecarolina lakers going trash season wait	0
330	bino looking nip rings wait change mine lmao	0
331	black jesus lil aerii happy new year check yo clock hun got another hour lol lil count thing	0
332	honeysays phone charging backwards retarded	1
333	alicia aint special niglet rt vice fly chilling wit greg ppl walk ask take pics hatin	1
334	anallanusa really cool good basketball zebra willball life	0
335	boojieque rt webbmadethis lemme find niggaz letting bitches shit yo faces niggas weirdos	1
336	butter obama hate attempt make yellow light car infront stops light wanting fight	0
337	coltscommunity pacers nflcolts indystar chuckstrong goldswagger http co q wm vu thats awesome hoosiers	0
338	dnumberbefore vice fly dnumberbefore u regular nig u played b lol ima b ig famous days counts somethin	1
339	fatbellybella know u didnt hit jigga fav purse solangeknowles chill	0
340	ghostriderj yankees never someone wear single digit uniform season wow shows epic organization	0
341	hoppk wccorosen sick trash talk cocky attitudes shutupandplay refs take control needed	0
342	icarleybby djzeeti twitpic selfie light colored eyes http co bsoyll iz	0
343	isignmyownboobs thats fav part take care whole album trash	0
344	iamkrause see every iftheygunnedmedown tweet http co xwmkac aw	0
345	iamkrause need thank killing niggers reward	1
346	jerseyzbest eagles fans dont except fact mcoy trash year everybody figured spread offense stopit	0
347	kaylendenise hate bitch fact oomf likes retweeettt x	1
348	kitty hello im yung jay bitch ass nigga fuck hoes got manners realtalk	1
349	lakeshow wccorosen bad optimism royals twins take rose ie colored glasses	0
350	medaoriginbitch one friend greet insult morbidmermaid evanbecker niggers	1
351	notflappybird tag friend sucks flappy bird	0
352	nypost used obamacare website definitely change password http co ved yyztok hahahahahah sad boon	0
353	rihanna raided nicki wig closet summer bad gals wanna fun http co panscimew bitch nerve smh	0
354	rocafella waymoflydenu fleek yo vocabulary faggot	1
355	sorryimalex back cause wanna see boys lose trash vote sos	0
356	spannerhead vertrellcarter faggot respect	1
357	sportspickle fruit modern yankees farm system http co lfwc lsrjo joba nut	0
358	theellemac essence fest anyone main stage stepping uncle charlie	0
359	thejanicexxx u unfollowed dm u say rude cunt lmao dm	1
360	trayn gga charlie strong texas back power better power big anybody	0
361	ttevy want affection also want left alone see issue fag	1
362	wassssupsarah car hopping different world ghetto guys tried asking number lol ghetto tho	0
363	waymoflydenu yall think ok faggots want us cool	1
364	wizkhalifa east coast colored hair everywhere	0
365	wwwobert b oreo stunt come thru	0
366	yungtfti feel sorry anyone paid lic edc trash music	0
367	zt mm traded nikes new mic guess safe say sold soles new life bada	0
368	time place decaf coffee never trash http co zvjroxgndq mommymonday humor via jenerationpr theskimm	0
369	best asian massage brooklyn park slope top rated spa http co zuxaqeavl	0
370	best asian massage brooklyn park slope top rated spa http co ensnf rgph	0
371	best asian massage brooklyn park slope top rated spa http co sawpjdtign	0
372	best asian massage brooklyn park slope top rated spa http co thxm hjo	0
373	best asian massage brooklyn park slope top rated spa http co yrfdaiooyz	0
374	best asian massage park slope top rated spa http co xtcoome v	0
375	best asian massage park slope top rated spa http co kuzapfcmf	0
376	best asian massage park slope top rated spa http co br el zxrw	0
377	best asian massage park slope top rated spa http co mcoznht n	0
378	best asian massage park slope top rated spa http co nkvy nwyzj	0
379	best asian massage park slope top rated spa http co tqs wpa	0
380	best asian massage park slope top rated spa http co zsaazfl p	0
381	best asian massage park slope top rated spa http co dyyvrejam	0
382	best asian massage park slope top rated spa http co gpbi yobq	0
383	best asian massage park slope top rated spa http co iucrwofdts	0
384	best asian massage park slope top rated spa http co mlfucqiifa	0
385	best asian massage park slope top rated spa http co pxwlzkwacs	0
386	best asian massage park slope top rated spa http co spvogfyxzt	0
387	best asian massage park slope top rated spa http co u pzev e q	0
388	grand opening top class oriental massage perfect http co pofgc ohc	0
389	grand opening top class oriental massage perfect http co fhgqf rwbe	0
390	grand opening top class oriental massage perfect http co k ibflgs z	0
391	grand opening top class oriental massage perfect http co jozokfei	0
392	grand opening top class oriental massage perfect http co zibllnm zs	0
393	grand opening top class oriental massage perfect http co hhxk mkhe	0
394	grand opening top class oriental massage perfect http co dmxplroaj	0
395	grand opening top class oriental massage perfect http co ydzyr dvs	0
396	thots wearing uggs rt bigbootyjudy itsfallbecause negros pulling timbs	0
397	say mean dyke ron wcw http co vv dumme	1
398	yellow outside	0
399	nudes trash	0
400	sleep niggah chood charleyhood	1
401	happppppy birthdayyyy lol niggahs really bitch http co yatu pbshx	1
402	ugly ass niggah tf chuu baka anyways niggah look like http co lvndrdppqt	1
403	niggah pharrell whatever niggah name deserve shit white ass gay song	1
404	good jeter hero yankees send http co ostfobgufa via espnnewyork	0
405	damn whitey get kick newest form white privilege http co zlpfzsitom	1
406	eff let go cripple see wendy davis new attack ad video http co wapbchhuru	0
407	forget salute trash guy bad war cairo ii sympathize w pockistan gays hurting morale thanks king	0
408	scandal sex scene airs abc right great pumpkin charlie brown making parents angry http co vltspk u	0
409	u turns yellow aceptar este luz rojo lights taking long make bilingual	0
410	con also provide colored stickers place nametags members indicate preferred pronouns	0
411	via jacklayton charlie angus sending made china canadian flag pins back conservatives http tinyurl com dmt	0
412	searches yellow pages app nearest jack box	0
413	bo rt thegodwriter idoclyfe bruh lol retired mw everything trash afterwards	0
414	chops rt tweets sweet bird call flaps hands	0
415	goes olive garden	1
416	rubs hands like bird man	0
417	squak squak squak squak	0
418	waits fanduel hit jig	0
419	kirogx gusta typing like retard make person look dumber pretending agree bazinga	1
420	rt maxin betha humbltonbanks ankle socks general faggots bro	1
421	help	0
422	aaaaaaaaand begins rt rileydakafka fucking niggers kentucky ever	1
423	white rolls eyes rt didntdonuffin dreaaalove rip nigga trayvon worthless spear chucker	1
424	alysssmithh keveeed yes indeed camels ostriches zebras sept http co x oapfm e vccamelraces	0
425	aussiegrit loves austin http co httbu omzy webber boon fiawec hcota	0
426	corybooker running around town delivering food people takes trash perfect boyfriend	0
427	hoppykercheval could play minutes charlie brown wah wah wah adult sound effect instead	0
428	rashaansalaami always feel like go season offensive concepts inevitably trash get good	0
429	straatvogels street birds homeless people twittering amsterdam http co wruocdvkjt via huffpostimpact	0
430	agie sweet vedantebreh travelnevada try visiting thewashoeclub night real spook	0
431	dawnbazely thank dawn see state bird graces avatar	0
432	eversotweetly u klain real sole job dampen mushrooming bad pr political fallout heading nov election	0
433	harmonica b could wearing trash bag still stylish coolest human know	0
434	nathirhussein al qaeda market share dropping faster viacom enron jihadi stock market	0
435	rt naeluckyass ilovebigtracy therealalonig crossed eyed albino control	0
436	semi evolved monkey desperately searching validation meaning life bbqd ok mango salsa	0
437	slap hoe	0
438	rt paradoxicalmike rt idavey average need sinsofmyfather scale ghetto u	0
439	oz arizona trash	0
440	eggs sunny side nicca eastsidedame	0
441	world series rematch yankees braves	0
442	x yellow tower gilbert claes http co qc g fg	0
443	iubb games im bloomington btown good ncaa basketball college indiana iu hoosiers	0
444	adult human skulls found trash http co vcsnp ejv	0
445	beer queer	1
446	hoes dyke	1
447	talented drivers rt garrisonstudio really glad yellows yellows	0
448	mins natezoo n greco joel pick trash meijer u guys understand took shots trip	0
449	old hoes ponk dyke outchea girl talk	1
450		0
451	bags chips rice krispies seeds gummies pop tart crackers powerades water yuhhh good lol	0
452	white men pick trucks screaming nigger coach got nerve get mad missed free throw	1
453	still awake yay time chug coffee red bull foreseeable future hopefully pass behind wheel	0
454	sos trash	0
455	whizzing crackers cats got ritzcrackers playing hockey lol	0
456	mo govjaynixon let kill crackers kill babies new black panthers hijack ferguson presser http co z wko ripz	1
457	species birds reported chesterfield great backyard bird count many area http co dtllzlxmpf	0
458	species birds reported chesterfield great backyard bird count many area http co viwmjjjxot	0
459	feature car	0
460	percent trash dump sea missing good thing http co cwc lwcv http co kt hlm	0
461	peterdavidsonii point need discuss delicious vegan brownie busboysandpoets u st tastes	0
462	fd ad hick yes	0
463	professor charlie sheen could coach better crusty dusty yeah hired bryan price pitching coach	0
464	professor bet starbucks queer	1
465	xabad dea hard qa time also pain mock unit tests	0
466	corinthians blessjesus yes felt touched soles humanity stains impressions leaves reflections	0
467	corinthians booksofgodwidom proverbs also laugh calamity mock fear cometh	0
468	corinthians holyspirit god still share secrets amos blessings jesus	0
469	corinthians jesus genesis ground lord god formed every beast field every bird sky initiating	0
470	oyster maybe crow obama democrats mawbar might well republican	0
471	sonofyahweh foolish proud selves roll eyes pretend dont see mock laff arrogant attitudes	0
472	usagrunt wonder charlie brown would say days	0
473	samanthakay good enough fag	1
474	anow looks like plastic monkey doll	0
475	reminds oreos lmao	0
